OverallQual,GarageCars,ExterQual,GrLivArea,FullBath,KitchenQual,YearBuilt,1stFlrSF,BsmtQual,Fireplaces,SalePrice
7,2,Gd,1710,2,Gd,2003,856,Gd,0,208500
6,2,TA,1262,2,TA,1976,1262,Gd,1,181500
7,2,Gd,1786,2,Gd,2001,920,Gd,1,223500
7,3,TA,1717,1,Gd,1915,961,TA,1,140000
8,3,Gd,2198,2,Gd,2000,1145,Gd,1,250000
5,2,TA,1362,1,TA,1993,796,Gd,0,143000
8,2,Gd,1694,2,Gd,2004,1694,Ex,1,307000
7,2,TA,2090,2,TA,1973,1107,Gd,2,200000
7,2,TA,1774,2,TA,1931,1022,TA,2,129900
5,1,TA,1077,1,TA,1939,1077,TA,2,118000
5,1,TA,1040,1,TA,1965,1040,TA,0,129500
9,3,Ex,2324,3,Ex,2005,1182,Ex,2,345000
5,1,TA,912,1,TA,1962,912,TA,0,144000
7,3,Gd,1494,2,Gd,2006,1494,Gd,1,279500
6,1,TA,1253,1,TA,1960,1253,TA,1,157000
7,2,TA,854,1,TA,1929,854,TA,0,132000
6,2,TA,1004,1,TA,1970,1004,TA,1,149000
4,2,TA,1296,2,TA,1967,1296,,0,90000
5,2,TA,1114,1,Gd,2004,1114,TA,0,159000
5,1,TA,1339,1,TA,1958,1339,TA,0,139000
8,3,Gd,2376,3,Gd,2005,1158,Ex,1,325300
7,1,TA,1108,1,Gd,1930,1108,TA,1,139400
8,2,Gd,1795,2,Gd,2002,1795,Gd,1,230000
5,2,TA,1060,1,TA,1976,1060,Gd,1,129900
5,1,TA,1060,1,Gd,1968,1060,TA,1,154000
8,3,Gd,1600,2,Gd,2007,1600,Gd,1,256300
5,2,TA,900,1,Gd,1951,900,TA,0,134800
8,3,Gd,1704,2,Gd,2007,1704,Ex,1,306000
5,1,TA,1600,1,TA,1957,1600,TA,2,207500
4,1,TA,520,1,Fa,1927,520,TA,0,68500
4,1,TA,1317,1,TA,1920,649,TA,0,40000
5,1,TA,1228,1,Gd,1966,1228,TA,0,149350
8,2,Gd,1234,2,Gd,2007,1234,Ex,0,179900
5,2,TA,1700,1,Gd,1959,1700,TA,1,165500
9,2,Ex,1561,2,Ex,2005,1561,Ex,1,277500
8,3,Gd,2452,3,Gd,2004,1132,Ex,1,309000
5,2,TA,1097,1,TA,1994,1097,Gd,0,145000
5,2,TA,1297,1,TA,1954,1297,TA,1,153000
5,1,TA,1057,1,Gd,1953,1057,TA,0,109000
4,0,TA,1152,2,Fa,1955,1152,,0,82000
6,2,TA,1324,2,TA,1965,1324,TA,1,160000
5,1,TA,1328,1,TA,1959,1328,TA,2,170000
5,2,TA,884,1,Gd,1983,884,Gd,0,144000
5,1,TA,938,1,TA,1975,938,Gd,0,130250
5,1,TA,1150,1,TA,1959,1150,TA,0,141000
9,2,Ex,1752,2,Ex,2005,1752,Ex,1,319900
7,2,Gd,2149,1,Gd,2003,1518,Ex,1,239686
8,3,Gd,1656,2,Gd,2006,1656,Gd,0,249700
4,0,TA,1452,2,TA,1920,736,TA,0,113000
5,1,TA,955,1,TA,1966,955,TA,0,127000
6,2,TA,1470,2,TA,1997,794,Gd,0,177000
6,2,TA,1176,1,TA,1934,816,TA,1,114500
5,2,Fa,816,1,TA,1963,816,Gd,0,110000
9,3,Gd,1842,0,Gd,1981,1842,Ex,1,385000
5,2,TA,1360,1,TA,1955,1360,TA,1,130000
6,2,TA,1425,2,TA,1964,1425,TA,1,180500
8,2,Gd,1739,2,Gd,1999,983,Gd,0,172500
7,2,Gd,1720,2,Gd,2004,860,Gd,0,196500
10,3,Ex,2945,3,Gd,2006,1426,Ex,1,438780
5,1,TA,780,1,TA,1972,780,TA,0,124900
6,2,TA,1158,1,Gd,2004,1158,Gd,0,158000
5,1,TA,1111,1,Fa,1920,581,TA,0,101000
8,2,Gd,1370,2,Gd,2006,1370,Gd,1,202500
7,2,TA,1710,2,TA,1921,902,TA,0,140000
7,2,TA,2034,2,Gd,1997,1057,Gd,0,219500
8,3,Gd,2473,2,Gd,2004,1143,Ex,1,317000
7,2,TA,2207,2,TA,1970,2207,Gd,1,180000
7,2,Gd,1479,2,Gd,2003,1479,Gd,0,226000
4,1,TA,747,1,TA,1945,747,TA,0,80000
7,2,Gd,2287,2,TA,1953,1304,TA,1,225000
7,2,TA,2223,2,TA,1973,2223,Gd,2,244000
4,2,TA,845,1,TA,1982,845,TA,0,129500
7,2,TA,1718,2,TA,1998,885,Gd,1,185000
5,2,TA,1086,1,TA,1954,1086,TA,0,144900
3,1,Gd,1605,2,TA,1915,840,Fa,0,107400
4,1,TA,988,1,TA,1973,526,Gd,0,91000
4,1,TA,952,1,TA,1956,952,TA,0,135750
5,1,TA,1285,1,TA,1948,1072,TA,0,127000
4,0,TA,1768,2,TA,1968,1768,TA,0,136500
5,2,TA,1230,1,TA,1910,682,TA,0,110000
6,1,TA,2142,2,Gd,1968,1182,Gd,1,193500
6,2,TA,1337,2,TA,1998,1337,Ex,0,153500
8,3,TA,1563,2,Gd,2007,1563,Gd,1,245000
5,2,TA,1065,1,TA,1960,1065,TA,0,126500
7,2,TA,1474,2,TA,1995,804,Gd,1,168500
8,2,Gd,2417,2,Gd,1991,1301,Gd,1,260000
6,2,Gd,1560,2,Gd,2005,684,Gd,1,174000
6,2,Gd,1224,2,Gd,2009,612,Gd,0,164500
3,0,Fa,1526,1,Fa,1915,1013,TA,0,85000
4,0,TA,990,1,TA,1994,990,Gd,0,123600
4,2,TA,1040,1,TA,1950,1040,,0,109900
5,2,TA,1235,1,TA,1961,1235,TA,0,98600
5,2,TA,964,1,TA,1921,964,Gd,0,163500
6,2,TA,2291,2,TA,1910,1260,TA,1,133900
6,2,TA,1786,2,Gd,1997,905,Gd,0,204750
6,2,Ex,1470,2,TA,1993,680,Gd,1,185000
7,2,Gd,1588,2,Gd,1999,1588,Gd,0,214000
4,1,TA,960,1,TA,1965,960,TA,0,94750
5,1,TA,835,1,TA,1920,835,TA,0,83000
4,0,TA,1225,1,TA,1959,1225,TA,0,128950
6,2,TA,1610,2,Gd,1977,1610,TA,2,205000
6,2,Gd,1732,2,Gd,1985,977,Gd,1,178000
5,2,TA,1535,2,TA,1979,1535,,0,118964
7,3,TA,1226,2,Gd,2009,1226,Gd,0,198900
7,1,TA,1818,1,TA,1931,1226,TA,2,169500
8,2,Gd,1992,2,Gd,2003,1053,Ex,1,250000
4,1,TA,1047,1,TA,1885,1047,Fa,0,100000
5,1,TA,789,1,TA,1948,789,TA,0,115000
5,0,TA,1517,2,Fa,1919,997,TA,0,115000
6,2,TA,1844,2,TA,1977,1844,Gd,1,190000
6,1,TA,1855,2,TA,1954,1216,TA,0,136900
7,2,TA,1430,2,TA,2000,774,Gd,1,180000
7,3,Gd,2696,2,Ex,2007,1282,Ex,1,383970
6,2,TA,2259,2,Gd,1953,2259,Gd,2,217000
6,1,TA,2320,2,Gd,1945,1436,TA,1,259500
6,2,TA,1458,2,TA,1999,729,Gd,1,176000
5,1,TA,1092,1,TA,1962,1092,TA,1,139000
5,2,TA,1125,1,TA,2006,1125,Gd,0,155000
7,3,TA,3222,3,Gd,1990,1699,Gd,2,320000
6,2,Gd,1456,2,Gd,2005,728,Gd,1,163990
6,2,TA,988,1,TA,1969,988,TA,2,180000
4,1,TA,1123,1,TA,1939,772,TA,0,100000
6,1,TA,1080,1,TA,1958,1080,TA,0,136000
6,2,Gd,1199,2,Gd,1993,1199,Gd,0,153900
6,2,TA,1586,2,TA,1979,1586,Gd,1,181000
6,0,TA,754,1,TA,1935,520,TA,0,84500
6,2,TA,958,2,TA,1976,958,Gd,1,128000
5,0,TA,840,1,TA,1930,840,TA,1,87000
6,2,TA,1348,1,TA,1966,660,TA,1,155000
5,2,TA,1053,1,Ex,1958,1053,TA,0,150000
7,2,TA,2157,2,Gd,1966,1216,TA,2,226000
6,2,Gd,2054,2,Gd,2000,1022,Gd,1,244000
5,2,TA,1327,1,Gd,1959,1327,TA,0,150750
8,2,Gd,1296,2,Gd,2001,1296,Ex,0,220000
5,2,TA,1721,2,TA,1968,1721,TA,1,180000
7,2,TA,1682,2,TA,1970,1682,TA,1,174000
5,1,TA,1214,2,TA,1967,1214,TA,1,143000
7,3,TA,1959,3,TA,1988,1959,TA,0,171000
8,3,Gd,1852,2,Gd,1999,1004,Gd,2,230000
6,2,TA,1764,2,Gd,1997,928,Gd,0,231500
4,0,TA,864,1,TA,1971,864,TA,1,115000
7,2,Gd,1734,2,Gd,2005,1734,Gd,0,260000
5,2,TA,1385,2,TA,1952,910,TA,0,166000
7,2,Gd,1501,2,Gd,1999,1501,Gd,0,204000
5,2,TA,1728,2,TA,1963,1728,TA,0,125000
6,2,Gd,1709,2,Gd,2004,970,Gd,0,130000
5,1,TA,875,1,TA,1931,875,TA,0,105000
7,2,Gd,2035,2,Gd,2001,884,Gd,1,222500
7,0,TA,1080,1,Gd,2004,1080,Gd,0,141000
5,1,TA,1344,1,TA,1936,896,Gd,0,115000
5,2,TA,969,1,TA,1975,969,TA,0,122000
8,3,Gd,1710,2,Gd,2007,1710,Ex,1,372402
6,2,TA,1993,2,TA,1971,1097,TA,1,190000
6,2,TA,1252,1,TA,1960,1252,Gd,1,235000
6,1,TA,1200,1,TA,1923,1200,TA,0,125000
6,0,TA,1096,1,TA,1924,572,TA,0,79000
5,2,TA,1040,1,TA,1950,1040,,0,109500
8,3,Gd,1968,2,Ex,2009,774,Ex,1,269500
7,2,Gd,1947,2,Gd,2004,991,Gd,1,254900
7,2,Gd,2462,2,Gd,2005,1392,Gd,1,320000
6,2,TA,1232,2,TA,1984,1232,Gd,0,162500
9,3,Gd,2668,2,Ex,2003,1572,Ex,2,412500
7,2,Gd,1541,2,Gd,2005,1541,Gd,1,220000
4,0,TA,882,1,TA,1956,882,TA,0,103200
6,1,TA,1616,2,Gd,1926,1149,TA,0,152000
5,0,TA,1355,2,TA,1940,808,TA,0,127500
5,1,Gd,1867,1,TA,1955,1867,TA,3,190000
8,3,Gd,2161,1,Ex,2007,1610,Ex,1,325624
7,2,Gd,1720,2,Gd,2004,840,Gd,1,183500
8,2,Gd,1707,2,TA,1981,1707,Gd,1,228000
5,2,TA,1382,1,TA,1941,854,TA,0,128500
6,2,TA,1656,1,TA,1960,1656,TA,2,215000
7,2,Gd,1767,2,Gd,1987,1064,Gd,1,239000
6,2,TA,1362,1,TA,1961,1362,TA,1,163000
6,2,TA,1651,2,TA,1986,1651,Gd,1,184000
6,2,TA,2158,2,Gd,1950,2158,TA,1,243000
6,2,Gd,2060,2,TA,1988,1164,Gd,1,211000
5,2,Gd,1920,2,Gd,1958,1252,TA,1,172500
9,3,Ex,2234,2,Ex,2008,2234,Ex,1,501837
5,2,Gd,968,1,TA,1923,968,TA,0,100000
6,2,Gd,1525,2,Gd,2000,769,Gd,1,177000
7,1,TA,1802,1,TA,1920,901,Fa,1,200100
5,1,TA,1340,1,TA,1957,1340,,1,120000
7,2,TA,2082,2,Gd,2003,1362,Gd,0,200000
5,2,TA,1252,1,TA,1908,936,Fa,0,127000
10,3,Gd,3608,2,Ex,1892,1518,TA,2,475000
7,2,TA,1217,2,Gd,1990,1217,Gd,0,173000
5,1,TA,1656,2,TA,1916,808,Fa,0,135000
5,2,TA,1224,0,TA,1979,1224,Gd,2,153337
8,2,Gd,1593,1,Ex,2001,1593,Ex,1,286000
8,2,Gd,2727,2,Gd,1932,1549,Gd,2,315000
7,2,TA,1479,1,Gd,1972,725,TA,0,184000
7,2,Gd,1431,2,Gd,1999,1431,Gd,0,192000
7,2,Gd,1709,2,Gd,2004,970,Gd,0,130000
5,1,TA,864,1,TA,1972,864,TA,0,127000
6,2,TA,1456,2,TA,1976,855,Gd,1,148500
7,3,Ex,1726,2,Ex,2007,1726,Ex,1,311872
8,2,Gd,3112,2,Gd,1918,1360,TA,1,235000
6,0,TA,2229,1,TA,1912,929,TA,0,104000
8,3,Gd,1713,2,Ex,2004,1713,Ex,1,274900
4,2,TA,1121,2,TA,2003,1121,Gd,0,140000
6,2,TA,1279,2,TA,1977,1279,TA,2,171500
6,1,TA,1310,2,TA,1924,865,Fa,0,112000
6,2,Gd,848,1,Gd,2004,848,Gd,1,149000
5,1,TA,1284,1,TA,1947,720,TA,0,110000
7,2,TA,1442,2,TA,1990,1442,Gd,0,180500
5,1,TA,1696,1,TA,1962,1696,TA,1,143900
4,1,TA,1100,1,TA,1960,1100,TA,1,141000
7,2,Gd,2062,2,TA,1988,1180,Gd,1,277000
6,2,TA,1092,1,TA,1964,1092,Gd,0,145000
5,0,TA,864,1,TA,1925,864,TA,0,98000
6,2,TA,1212,2,Gd,2009,1212,Gd,0,186000
7,2,TA,1852,2,Gd,2009,932,Gd,1,252678
5,2,TA,990,1,TA,1995,990,Gd,0,156000
6,1,TA,1392,1,TA,1977,689,Gd,0,161750
5,1,TA,1236,1,Gd,1957,1236,TA,1,134450
7,2,Gd,1436,2,Gd,2004,1436,Gd,0,210000
4,1,TA,1328,1,TA,1925,810,TA,0,107000
7,2,Gd,1954,1,Gd,1939,1137,TA,2,311500
7,2,Gd,1248,2,Gd,2005,1248,Gd,0,167240
7,2,Gd,1498,2,Gd,2006,1498,Gd,0,204900
6,2,Gd,2267,2,Gd,2002,1010,Gd,1,200000
6,2,TA,1552,2,TA,1975,811,Gd,1,179900
4,2,TA,864,1,TA,1971,864,TA,0,97000
10,3,Ex,2392,2,Ex,2003,2392,Ex,1,386250
5,1,TA,1302,2,TA,1971,630,TA,0,112000
7,3,Gd,2520,2,Gd,1995,1214,Gd,1,290000
6,1,TA,987,1,TA,1970,483,TA,0,106000
5,1,TA,912,1,TA,1967,912,TA,1,125000
7,2,Gd,1555,2,Gd,2005,1555,Gd,1,192500
6,1,TA,1194,1,TA,1959,1194,TA,0,148000
8,3,Gd,2794,2,Ex,1995,1490,Gd,1,403000
6,1,TA,987,1,TA,1972,483,TA,1,94500
5,1,TA,894,1,TA,1976,894,TA,0,128200
6,2,Gd,1960,2,Gd,2002,860,Gd,2,216500
6,1,TA,987,1,TA,1971,483,TA,0,89500
7,2,Gd,1414,2,Gd,2004,1414,Gd,0,185500
7,2,Gd,1744,2,Gd,1993,1014,Gd,0,194500
8,3,Ex,1694,2,Gd,2007,1694,Ex,0,318000
6,1,TA,1487,1,TA,1945,798,TA,1,113000
8,2,Gd,1566,2,Gd,2008,1566,Gd,0,262500
5,0,TA,866,1,Gd,1945,866,TA,0,110500
5,1,TA,1440,1,TA,1900,889,TA,0,79000
6,1,TA,1217,1,TA,1980,626,Gd,1,120000
7,2,Gd,2110,2,Gd,1994,1222,Gd,2,205000
7,2,TA,1872,2,TA,1988,1872,Gd,1,241500
6,1,TA,1928,2,Fa,1910,908,Fa,0,137000
6,2,TA,1375,1,TA,1954,1375,TA,1,140000
7,2,Gd,1668,2,Gd,2003,840,Gd,0,180000
6,2,Gd,2144,2,Gd,1958,1444,Gd,2,277000
3,0,TA,1306,1,Fa,1940,1306,TA,0,76500
8,2,Gd,1625,2,Gd,2006,1625,Gd,1,235000
6,2,Gd,1640,2,Gd,2004,798,Gd,0,173000
6,1,TA,1302,2,Gd,1964,1302,Gd,0,158000
5,1,TA,1314,1,TA,1957,1314,TA,0,145000
7,2,Gd,2291,2,Gd,1999,1005,Gd,1,230000
6,2,Gd,1728,2,Gd,2003,864,Gd,0,207500
7,2,Gd,1604,2,Gd,2006,1604,Gd,1,220000
7,2,Gd,1792,2,Gd,2001,963,Gd,1,231500
5,1,TA,882,1,TA,1956,882,,0,97000
6,2,TA,1382,1,TA,1962,1382,TA,1,176000
8,3,Gd,2574,2,Ex,2007,1482,Ex,1,276000
6,2,TA,1212,1,TA,1977,1212,Gd,1,151000
5,2,TA,1316,1,TA,1929,926,TA,0,130000
5,2,TA,764,1,TA,1925,764,Fa,0,73000
6,2,TA,1422,2,Gd,1981,1422,Gd,1,175500
6,2,TA,1511,2,TA,1997,802,Gd,1,185000
5,1,TA,2192,2,Gd,1939,1052,TA,1,179500
5,1,TA,778,1,TA,1940,778,TA,1,120500
6,1,TA,1113,1,TA,1976,1113,TA,1,148000
8,3,Gd,1939,2,Gd,2006,1095,Gd,1,266000
7,2,TA,1363,1,TA,1954,1363,Gd,2,241500
8,3,Gd,2270,2,Gd,1999,1164,Gd,1,290000
6,1,TA,1632,2,TA,1958,1632,TA,1,139000
5,1,TA,816,1,TA,1982,816,TA,0,124500
7,2,Gd,1548,2,Ex,1925,952,TA,0,205000
7,2,Gd,1560,2,Gd,2003,1560,Ex,0,201000
4,2,TA,864,1,TA,1951,864,TA,0,141000
9,3,Ex,2121,2,Ex,2006,2121,Ex,1,415298
7,2,TA,2022,2,TA,1977,1156,Gd,1,192000
7,2,Gd,1982,2,Gd,1989,1175,Gd,1,228500
6,2,Gd,1262,2,Gd,2006,1262,Gd,0,185000
7,2,Gd,1314,2,Gd,2007,1314,Gd,1,207500
8,3,Gd,1468,2,Gd,2008,1468,Gd,1,244600
6,2,Gd,1575,2,Gd,1992,1575,Gd,0,179200
7,2,Gd,1250,2,Gd,2006,625,Gd,0,164700
6,2,TA,1734,1,Gd,1962,1085,TA,1,159000
4,0,TA,858,1,TA,1971,858,TA,0,88000
5,1,TA,900,1,TA,1967,900,TA,0,122000
6,1,TA,1396,1,TA,1915,698,TA,0,153575
8,2,Gd,1919,2,Gd,2006,1079,Gd,1,233230
5,0,TA,1716,2,Fa,1912,936,TA,0,135900
5,1,TA,1716,1,TA,1949,1148,TA,1,131000
7,2,TA,2263,2,Gd,1977,1468,TA,1,235000
6,2,TA,1644,1,TA,1953,1644,TA,2,167000
6,2,TA,1003,1,TA,1984,1003,TA,0,142500
5,1,TA,1558,1,TA,1950,910,TA,0,152000
7,2,Gd,1950,2,Gd,1997,975,Gd,1,239000
6,2,Gd,1743,1,TA,1968,1041,TA,1,175000
6,1,TA,1152,1,Gd,1950,1152,TA,1,158500
5,1,TA,1336,1,TA,1953,1336,TA,2,157000
8,2,Gd,2452,2,Gd,1998,1210,Gd,1,267000
7,3,Gd,1541,2,Gd,2001,1541,Gd,1,205000
5,2,TA,894,1,TA,1972,894,TA,0,149900
7,3,TA,3493,3,Gd,1880,1675,TA,1,295000
8,3,Gd,2000,2,Gd,2004,2000,Gd,0,305900
7,3,Gd,2243,2,Gd,1990,1122,Gd,1,225000
6,0,TA,1406,1,Fa,1920,1035,TA,0,89500
4,2,TA,861,1,TA,1940,861,TA,0,82500
9,3,Gd,1944,2,Ex,2003,1944,Ex,3,360000
6,2,TA,1501,2,Gd,1993,697,Gd,1,165600
6,1,TA,972,1,TA,1948,972,TA,1,132000
5,2,TA,1118,1,TA,1939,793,Gd,1,119900
7,2,TA,2036,2,TA,1965,2036,Gd,2,375000
7,2,TA,1641,1,Ex,1925,832,TA,1,178000
7,2,Gd,1432,2,Gd,2004,716,Gd,1,188500
7,2,Gd,2353,2,Ex,1980,1153,Gd,1,260000
8,3,Gd,1959,2,Gd,2006,1088,Gd,1,270000
7,3,Gd,2646,2,Gd,1993,1372,Gd,1,260000
7,2,TA,1472,2,TA,1980,1472,Gd,2,187500
9,3,TA,2596,3,Gd,2006,1249,Ex,0,342643
8,3,Gd,2468,2,Gd,2004,1136,Ex,1,354000
7,2,Gd,2730,2,Gd,1986,1553,TA,1,301000
3,1,TA,1163,1,TA,1955,1163,TA,0,126175
7,2,Gd,2978,2,Gd,1967,1898,Gd,1,242000
5,2,TA,803,1,TA,1941,803,TA,0,87000
8,2,Gd,1719,1,Gd,1993,1719,Gd,2,324000
6,1,TA,1383,1,TA,1960,1383,TA,0,145250
6,2,TA,2134,2,Gd,1916,1445,TA,0,214500
5,1,TA,1192,1,TA,1920,596,TA,0,78000
5,1,TA,1728,2,TA,1964,1728,TA,0,119000
5,1,TA,1056,1,TA,1958,1056,TA,0,139000
8,3,Gd,1629,2,Gd,2003,1629,Gd,1,284000
7,2,Gd,1358,2,Gd,2004,1358,Gd,1,207000
6,2,TA,1638,2,TA,1998,943,Gd,2,192000
5,2,TA,1786,2,TA,1965,1619,TA,2,228950
9,3,Gd,1922,2,Gd,2005,1922,Ex,1,377426
7,2,Gd,1536,2,Gd,2002,1536,Gd,0,214000
7,2,Gd,1621,2,Gd,1984,1621,Gd,0,202500
6,1,TA,1215,1,TA,1958,1215,TA,0,155000
8,2,Gd,1908,2,Gd,2002,993,Gd,0,202900
4,1,Fa,841,1,TA,1950,841,TA,0,82000
3,2,TA,1040,2,TA,1949,1040,,0,87500
9,2,Ex,1684,2,Ex,2005,1684,Ex,1,266000
5,1,TA,1112,1,TA,1976,536,Gd,0,85000
6,1,TA,1577,1,Fa,1939,972,TA,1,140200
6,1,TA,958,1,TA,1960,958,TA,0,151500
6,2,TA,1478,2,TA,1960,1478,TA,2,157500
7,2,Gd,1626,2,Gd,2003,764,Gd,0,154000
9,3,Ex,2728,2,Ex,2005,1848,Ex,2,437154
9,2,Ex,1869,2,Ex,2007,1869,Ex,1,318061
7,2,TA,1453,1,Gd,1986,1453,Gd,1,190000
5,1,TA,1111,1,TA,1941,616,TA,0,95000
6,2,TA,720,1,TA,1928,720,TA,0,105900
6,1,TA,1595,1,TA,1940,1192,TA,2,140000
6,2,Gd,1200,2,Gd,1995,1200,Gd,0,177500
6,2,TA,1167,2,Gd,1992,1167,Gd,0,173000
5,2,TA,1142,1,TA,1976,1142,Gd,1,134000
5,1,TA,1352,1,Gd,1958,1352,TA,0,130000
8,2,Gd,1924,2,Gd,1998,1086,Gd,1,280000
6,2,TA,912,1,TA,1978,912,Gd,1,156000
5,1,TA,1505,1,TA,1940,988,TA,0,145000
